,city,lat,lon,max temp,humidity,cloudiness,wind speed,country,date
0,Kruisfontein,-34.0033,24.7314,65.88,61,4,3.4,ZA,1644342972
1,Ushuaia,-54.8,-68.3,56.82,58,40,23.02,AR,1644342951
2,Kharp,66.8014,65.8081,-10.43,100,100,2.91,RU,1644342972
3,Pevek,69.7008,170.3133,-32.08,100,73,5.26,RU,1644342973
4,Saint-Pierre,-21.3393,55.4781,78.48,83,0,2.3,RE,1644342973
5,Álamos,27.0167,-108.9333,76.06,12,0,1.43,MX,1644342973
6,Qaanaaq,77.484,-69.3632,-11.04,94,100,4.99,GL,1644342974
7,Khatanga,71.9667,102.5,2.7,78,100,17.9,RU,1644342974
8,Rawson,-43.3002,-65.1023,69.64,56,96,19.89,AR,1644342975
9,Saskylakh,71.9167,114.0833,-1.46,87,100,12.84,RU,1644342975
10,Bor,56.3567,44.0669,31.93,98,100,9.08,RU,1644342975
11,Busselton,-33.65,115.3333,56.08,81,12,7.96,AU,1644342976
12,Mar del Plata,-38.0023,-57.5575,71.62,80,0,11.01,AR,1644342976
13,Atherton,53.5237,-2.4935,53.35,91,100,13.02,GB,1644342976
14,Mataura,-46.1927,168.8643,48.47,99,35,3.18,NZ,1644342977
15,Parrita,9.5201,-84.3225,98.26,57,16,7.09,CR,1644342977
16,Kavieng,-2.5744,150.7967,81.0,81,100,9.4,PG,1644342977
17,Rikitea,-23.1203,-134.9692,78.13,73,58,10.92,PF,1644342978
18,Tabas,33.5959,56.9244,50.79,31,23,2.39,IR,1644342978
19,East London,-33.0153,27.9116,77.94,83,0,9.22,ZA,1644342979
20,Geraldton,-28.7667,114.6,68.41,68,0,18.41,AU,1644342979
21,Vaini,-21.2,-175.2,75.36,100,75,5.75,TO,1644342979
22,Muros,42.7762,-9.0603,63.1,68,1,4.85,ES,1644342980
23,Banda Aceh,5.5577,95.3222,78.24,84,34,7.67,ID,1644342980
24,Belmonte,-15.8631,-38.8828,84.7,62,62,9.89,BR,1644342980
25,Ishigaki,24.3448,124.1572,67.23,77,100,21.27,JP,1644342981
26,De-Kastri,51.4667,140.7833,10.63,87,100,14.85,RU,1644342981
27,New Norfolk,-42.7826,147.0587,54.91,71,61,2.01,AU,1644342981
28,Husavik,66.0449,-17.3389,28.31,94,100,23.71,IS,1644342982
29,Jamestown,42.097,-79.2353,29.52,60,100,14.97,US,1644342763
30,Chopda,21.25,75.3,72.39,38,2,6.64,IN,1644342822
31,Koryazhma,61.3143,47.1691,19.96,92,97,8.99,RU,1644342982
32,Punta Arenas,-53.15,-70.9167,55.51,47,75,21.85,CL,1644342687
33,Adrar,20.5022,-10.0711,77.56,8,12,9.28,MR,1644342983
34,Port Alfred,-33.5906,26.891,74.73,87,1,3.11,ZA,1644342983
35,Chui,-33.6971,-53.4616,74.88,48,69,10.25,UY,1644342984
36,Saint-Philippe,-21.3585,55.7679,78.39,85,68,9.35,RE,1644342984
37,Albany,42.6001,-73.9662,37.02,74,88,11.01,US,1644342812
38,Kapaa,22.0752,-159.319,73.18,77,28,9.57,US,1644342985
39,Glória do Goitá,-8.0017,-35.2928,84.34,43,5,16.73,BR,1644342985
40,Filingué,14.3521,3.3168,82.26,10,1,8.43,NE,1644342985
41,Auki,-8.7676,160.7034,78.91,87,99,8.86,SB,1644342986
42,Vila Velha,-20.3297,-40.2925,89.55,69,40,16.11,BR,1644342986
43,Mandalgovi,45.7625,106.2708,6.19,56,12,6.82,MN,1644342987
44,Seddon,-37.8068,144.8916,74.61,60,75,13.8,AU,1644342987
45,Coquimbo,-29.9533,-71.3436,67.73,72,75,11.5,CL,1644342988
46,Sabang,5.8933,95.3214,81.97,77,72,13.47,ID,1644342988
47,Grindavik,63.8424,-22.4338,32.47,80,75,6.91,IS,1644342988
48,Shizunai-furukawachō,42.3339,142.3669,23.83,75,53,10.22,JP,1644342989
49,Sal Rei,16.1833,-22.9167,75.4,69,20,17.27,CV,1644342989
50,San Patricio,28.017,-97.5169,65.17,34,0,3.98,US,1644342990
51,Upernavik,72.7868,-56.1549,-15.79,90,100,6.33,GL,1644342990
52,Saldanha,-33.0117,17.9442,73.45,92,43,11.65,ZA,1644342990
53,São Filipe,14.8961,-24.4956,73.49,71,2,6.46,CV,1644342991
54,Pangai,-19.8,-174.35,78.96,85,100,23.33,TO,1644342991
55,Havelock,34.8791,-76.9013,46.94,85,100,10.36,US,1644342991
56,Half Moon Bay,37.4636,-122.4286,65.62,73,0,1.01,US,1644342992
57,Cidreira,-30.1811,-50.2056,75.97,64,21,14.41,BR,1644342992
58,Saint Paul Harbor,57.79,-152.4072,27.99,83,61,5.59,US,1644342992
59,Coyhaique,-45.5752,-72.0662,66.81,34,40,9.22,CL,1644342993
60,Riyadh,24.6877,46.7219,60.94,27,0,7.34,SA,1644342732
61,Hervey Bay,-25.2986,152.8535,67.01,87,12,8.99,AU,1644342710
62,Zhoucheng,35.9122,116.3117,41.02,57,100,5.93,CN,1644342993
63,Hofn,64.2539,-15.2082,32.41,76,100,19.53,IS,1644342994
64,Paris,48.8534,2.3488,51.12,85,100,8.05,FR,1644342523
65,Natal,-5.795,-35.2094,88.45,55,40,14.97,BR,1644342712
66,Castro,-24.7911,-50.0119,75.72,67,75,4.05,BR,1644342995
67,Qasigiannguit,68.8193,-51.1922,-16.94,80,73,8.68,GL,1644342995
68,Barrow,71.2906,-156.7887,-30.98,100,75,6.91,US,1644342995
69,Kutum,14.2,24.6667,64.26,12,8,6.87,SD,1644342996
70,Butaritari,3.0707,172.7902,81.39,77,37,13.44,KI,1644342996
71,Raudeberg,61.9875,5.1352,40.19,88,100,11.01,NO,1644342996
72,Posadas,-27.3671,-55.8961,87.78,30,0,9.22,AR,1644342997
73,Cockburn Town,21.4612,-71.1419,78.76,73,40,11.5,TC,1644342997
74,Lavrentiya,65.5833,-171.0,-25.31,97,36,13.42,RU,1644342998
75,Cape Town,-33.9258,18.4232,73.27,65,0,12.66,ZA,1644342969
76,Krutinka,56.0055,71.5113,-2.09,100,99,4.88,RU,1644342998
77,Erzin,36.9559,36.2,50.52,84,100,7.38,TR,1644342999
78,Kaitangata,-46.2817,169.8464,52.84,96,33,5.28,NZ,1644342999
79,Tocopilla,-22.092,-70.1979,73.15,66,8,8.19,CL,1644342999
80,Oktyabr'skoye,43.0645,44.7417,30.34,86,100,4.47,RU,1644343000
81,Torbay,47.6666,-52.7314,32.29,79,75,10.36,CA,1644343000
82,Puerto Ayora,-0.7393,-90.3518,80.56,70,32,9.78,EC,1644343000
83,Vestmanna,62.1564,-7.1664,34.72,64,75,25.32,FO,1644343001
84,Maunabo,18.0072,-65.8993,82.47,73,57,16.44,PR,1644343001
85,Mīāndoāb,36.9694,46.1027,34.18,82,6,5.32,IR,1644343001
86,Pinar del Río,22.4175,-83.6981,83.48,47,0,9.37,CU,1644343002
87,Broken Hill,-31.95,141.4333,69.51,73,67,5.75,AU,1644343002
88,Constitución,-35.3333,-72.4167,74.43,53,9,18.34,CL,1644343003
89,Rio Grande,-32.035,-52.0986,80.71,58,73,14.14,BR,1644343003
90,Hirara,24.8,125.2833,66.85,75,100,20.42,JP,1644343003
91,Hilo,19.7297,-155.09,68.25,80,0,6.91,US,1644342689
92,Ledyard Center,41.4398,-72.0142,44.65,79,89,4.0,US,1644343004
93,Houston,29.7633,-95.3633,64.02,32,0,4.61,US,1644342663
94,Tūndla,27.2,78.2833,60.46,66,14,6.69,IN,1644343004
95,Hithadhoo,-0.6,73.0833,83.01,69,100,14.45,MV,1644343005
96,Gua Musang,4.8823,101.9644,72.12,99,100,1.57,MY,1644343005
97,Troitskoye,52.9821,84.6757,8.69,97,96,5.57,RU,1644343005
98,Dingle,10.9995,122.6711,75.06,90,72,9.48,PH,1644343006
99,Belaya Gora,68.5333,146.4167,-49.36,100,90,3.6,RU,1644343006
100,Sangar,63.9242,127.4739,-39.39,100,91,1.36,RU,1644343007
101,Puerto Peñasco,31.3167,-113.5333,66.9,22,0,5.01,MX,1644343007
102,Bredasdorp,-34.5322,20.0403,72.72,64,34,10.36,ZA,1644343007
103,Plácido de Castro,-10.3353,-67.1856,83.28,63,100,2.44,BR,1644343008
104,Halifax,44.6453,-63.5724,44.53,98,100,21.85,CA,1644342892
105,Ponta do Sol,32.6667,-17.1,72.12,37,24,8.21,PT,1644343008
106,Longyearbyen,78.2186,15.6401,17.44,67,75,8.05,SJ,1644343009
107,Hermanus,-34.4187,19.2345,69.91,89,29,7.49,ZA,1644343009
108,Thompson,55.7435,-97.8558,19.56,86,100,8.05,CA,1644343009
109,São João da Barra,-21.6403,-41.0511,82.49,82,89,8.95,BR,1644342769
110,Iqaluit,63.7506,-68.5145,-0.31,77,100,8.05,CA,1644343010
111,Bosaso,11.2842,49.1816,75.88,69,86,8.14,SO,1644343010
112,Lokoja,7.8024,6.743,89.51,14,45,4.63,NG,1644343010
113,Havre-St-Pierre,50.2334,-63.5986,19.4,86,100,17.27,CA,1644343011
114,Luanda,-8.8368,13.2343,80.6,69,20,11.5,AO,1644343011
115,Severo-Kuril'sk,50.6789,156.125,30.87,93,100,24.16,RU,1644343011
116,Lata,40.1629,-8.3327,66.61,52,0,4.81,PT,1644343012
117,Gombong,-7.6072,109.5142,75.83,84,100,3.13,ID,1644343012
118,Saint George,37.1041,-113.5841,59.34,25,4,2.17,US,1644343013
119,Tasiilaq,65.6145,-37.6368,14.22,83,100,9.4,GL,1644343013
120,Bethel,41.3712,-73.414,44.92,81,51,1.99,US,1644343013
121,Nuuk,64.1835,-51.7216,-1.25,75,95,10.92,GL,1644343014
122,Magnor,59.9511,12.1996,40.73,70,2,8.81,SE,1644343014
123,Seoul,37.5683,126.9778,26.04,84,0,3.44,KR,1644342528
124,Los Llanos de Aridane,28.6585,-17.9182,69.55,75,0,17.27,ES,1644343015
125,Esperance,-33.8667,121.9,57.04,68,50,4.54,AU,1644343015
126,Dongsheng,39.8161,109.9776,18.55,71,82,8.1,CN,1644343015
127,Yar-Sale,66.8333,70.8333,0.57,89,100,15.73,RU,1644343016
128,Atuona,-9.8,-139.0333,78.08,78,9,18.45,PF,1644343016
129,Isangel,-19.55,169.2667,80.13,92,100,25.19,VU,1644343017
